Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Sporox II Sterilizing and Disinfecting 7.5% Hydrogen Peroxide Solution, Clear, 1 Gallon Bottle",$49.26,One gallon bottle,https://www.net32.com/ec/sporox-ii-sterilizing-disinfecting-75-hydrogen-peroxide-d-42144?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 5.25"" x 11"" Self-Sealing Paper/Clear Film Sterilization Pouch 200/Bx. With Color",$8.91,Box of 200,https://www.net32.com/ec/house-brand-525-x-11-selfsealing-paper-d-101051?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 5.25"" x 10"" Self-Sealing Sterilization Pouch, Paper/Blue-Green Film, Box of 200",$7.89,Box of 200,https://www.net32.com/ec/house-brand-525-x-10-selfsealing-sterilization-d-115458?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"maxill steri-sox Self Sealing Sterilization Pouches, 3.5""x5.25"", 200/Box. Multi-parameter internal",$5.64,Box of 200,https://www.net32.com/ec/maxill-sterisox-self-sealing-sterilization-pouches-35x525-d-169590?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Optim 33 TB Disinfectant Cleaner Wipes 6""x7"", Case of 12x 160/Can. Saturated with broad spectrum",$140.99,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/optim-33-tb-disinfectant-cleaner-wipes-6x7-d-167404?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Sterisil Straw V2 365 Day Straw for DISTILLED water or water with TDS of 100ppm or less, 1/Pk. 2nd",$240.16,,https://www.net32.com/ec/sterisil-straw-v2-365-day-distilled-water-d-173092?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Chamber Brite Powdered Autoclave Cleaner in Premeasured Packets, for Most Full Chamber Steam",$54.20,10 single-use packets of powder,https://www.net32.com/ec/chamber-brite-powdered-autoclave-cleaner-premeasured-packets-d-43504?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,MARK3 Digital X-Ray Sensor Sleeve #2 Universal. Disposable Clear Plastic. Box of 500 Sensor Covers,$11.09,Box of 500 barriers,https://www.net32.com/ec/mark3-digital-xray-sensor-sleeve-2-universal-d-127216?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"ConFirm Mail-In Value Test - 52 Packets (2 Strip Test). Postage Not Paid. 52 Test Packets, Each",$213.00,Package of 52 tests (2 strip test),https://www.net32.com/ec/confirm-mailin-value-test-52-packets-2-d-12835?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"BioSonic Enzymatic Ultrasonic Cleaner Concentrate, dilution ratio of 1:128",$27.76,8 ounce MeterDose bottle,https://www.net32.com/ec/biosonic-enzymatic-ultrasonic-cleaner-concentrate-dilution-ratio-d-11689?queryID=97256fa64922dc401629d1751a73fa20
